route_id,service_id,trip_id,trip_headsign,direction_id,block_id,wheelchair_accessible,bikes_allowed
25,12-1-127,1582791339,JUVIGNAC - Le Martinet,1,,,
25,12-1-127,1582791340,JUVIGNAC - Courpouyran,0,,,
25,12-1-127,1582791341,JUVIGNAC - Le Martinet,1,,,
25,12-1-127,1582791342,JUVIGNAC - Le Martinet,1,,,
25,12-1-127,1582791343,JUVIGNAC - Le Martinet,1,,,
25,12-1-127,1582791344,JUVIGNAC - Courpouyran,0,,,
25,12-1-127,1582791345,JUVIGNAC - Le Martinet,1,,,
25,12-1-127,1582791346,JUVIGNAC - Courpouyran,0,,,
25,12-1-127,1582791347,JUVIGNAC - Le Martinet,1,,,
25,12-1-127,1582791348,JUVIGNAC - Courpouyran,0,,,
25,12-1-127,1582791349,JUVIGNAC - Le Martinet,1,,,
25,12-1-127,1582791350,JUVIGNAC - Courpouyran,0,,,
25,12-1-127,1582791351,JUVIGNAC - Le Martinet,1,,,
25,12-1-127,1582791352,JUVIGNAC - Courpouyran,0,,,
25,12-1-127,1582791353,JUVIGNAC - Le Martinet,1,,,
25,12-1-127,1582791354,JUVIGNAC - Courpouyran,0,,,
25,12-1-127,1582791355,JUVIGNAC - Le Martinet,1,,,
25,12-1-127,1582791356,JUVIGNAC - Courpouyran,0,,,
25,12-1-127,1582791357,JUVIGNAC - Le Martinet,1,,,
25,12-1-127,1582791358,JUVIGNAC - Courpouyran,0,,,
25,12-1-127,1582791359,JUVIGNAC - Courpouyran,0,,,
25,12-1-127,1582791360,JUVIGNAC - Le Martinet,1,,,
25,12-1-127,1582791361,JUVIGNAC - Le Martinet,1,,,
25,12-1-127,1582791362,JUVIGNAC - Courpouyran,0,,,
25,12-1-127,1582791363,JUVIGNAC - Le Martinet,1,,,
25,12-1-127,1582791364,JUVIGNAC - Courpouyran,0,,,
25,12-1-127,1582791365,JUVIGNAC - Courpouyran,0,,,
25,12-1-127,1582791366,JUVIGNAC - Le Martinet,1,,,
25,12-1-127,1582791367,JUVIGNAC - Le Martinet,1,,,
25,12-1-127,1582791368,JUVIGNAC - Courpouyran,0,,,
25,12-1-127,1582791369,JUVIGNAC - Courpouyran,0,,,
25,12-1-127,1582791370,JUVIGNAC - Le Martinet,1,,,
34,9-1-127,1582791388,MONTPELLIER - Mosson,1,,,
34,9-1-127,1582791389,MONTPELLIER - Mosson,1,,,
34,9-1-127,1582791390,MONTPELLIER - Mosson,1,,,
34,9-1-127,1582791391,MONTPELLIER - Mosson,1,,,
34,9-1-127,1582791392,COURNONSEC - Les Clavoux,0,,,
34,9-1-127,1582791393,COURNONSEC - Les Clavoux,0,,,
34,9-1-127,1582791394,COURNONSEC - Les Clavoux,0,,,
34,9-1-127,1582791395,COURNONSEC - Les Clavoux,0,,,
34,9-1-127,1582791396,MONTPELLIER - Mosson,1,,,
34,9-1-127,1582791397,COURNONSEC - Les Clavoux,0,,,
34,9-1-127,1582791398,MONTPELLIER - Mosson,1,,,
34,9-1-127,1582791399,COURNONSEC - Les Clavoux,0,,,
34,9-1-127,1582791400,MONTPELLIER - Mosson,1,,,
34,9-1-127,1582791401,COURNONSEC - Les Clavoux,0,,,
34,9-1-127,1582791402,COURNONSEC - Les Clavoux,0,,,
34,9-1-127,1582791403,MONTPELLIER - Mosson,1,,,
42,10-1-127,1582791469,MURVIEL LES MONTPELLIER - La Rouvière Longue,0,,,
42,10-1-127,1582791470,MURVIEL LES MONTPELLIER - La Rouvière Longue,0,,,
42,10-1-127,1582791471,MURVIEL LES MONTPELLIER - La Rouvière Longue,0,,,
42,10-1-127,1582791472,MURVIEL LES MONTPELLIER - La Rouvière Longue,0,,,
42,10-1-127,1582791473,MURVIEL LES MONTPELLIER - La Rouvière Longue,0,,,
42,10-1-127,1582791474,MURVIEL LES MONTPELLIER - La Rouvière Longue,0,,,
42,10-1-127,1582791475,MONTPELLIER - Mosson,1,,,
42,10-1-127,1582791476,MONTPELLIER - Mosson,1,,,
42,10-1-127,1582791477,MONTPELLIER - Mosson,1,,,
42,10-1-127,1582791478,MONTPELLIER - Mosson,1,,,
